Column1,Content ID,content Type,Category,Reactions.Reaction Type,Reactions.Datetime,ReactionTypes.Sentiment,ReactionTypes.Score,UNIQUE CATEGORY,VALUES
2,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,adore,10-01-2021 15:36,positive,72,,
2,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,scared,20-09-2020 08:48,negative,15,,
2,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,cherish,20-07-2020 14:06,positive,70,,
2,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,adore,24-10-2020 12:15,positive,72,,
2,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,interested,06-06-2021 01:27,positive,30,,
2,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,heart,25-12-2020 00:09,positive,60,,
2,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,like,14-06-2021 07:56,positive,50,,
2,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,like,05-06-2021 18:00,positive,50,,
2,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,hate,18-11-2020 23:37,negative,5,,
2,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,interested,09-05-2021 02:42,positive,30,,
2,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,dislike,11-05-2021 08:38,negative,10,,
2,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,peeking,12-11-2020 08:00,neutral,35,,
2,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,heart,21-06-2020 16:57,positive,60,,
2,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,super love,04-03-2021 23:58,positive,75,,
2,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,want,09-07-2020 16:47,positive,70,,
2,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,hate,01-08-2020 19:16,negative,5,,
2,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,dislike,23-11-2020 22:46,negative,10,,
2,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,scared,11-12-2020 14:08,negative,15,,
2,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,dislike,23-04-2021 23:41,negative,10,,
2,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,want,13-11-2020 00:33,positive,70,,
2,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,interested,09-06-2021 10:13,positive,30,,
2,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,love,29-10-2020 19:41,positive,65,,
2,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,heart,14-05-2021 12:47,positive,60,,
2,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,disgust,04-08-2020 05:40,negative,0,,
2,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,adore,07-08-2020 04:09,positive,72,,
2,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,adore,23-10-2020 21:19,positive,72,,
2,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,adore,14-11-2020 23:53,positive,72,,
2,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,worried,04-08-2020 19:26,negative,12,,
2,230c4e4d-70c3-461d-b42c-ec09396efb3f,photo,healthy eating,interested,12-11-2020 04:54,positive,30,,
3,356fff80-da4d-4785-9f43-bc1261031dc6,photo,technology,worried,03-04-2021 12:17,negative,12,,
3,356fff80-da4d-4785-9f43-bc1261031dc6,photo,technology,want,27-09-2020 22:15,positive,70,,
3,356fff80-da4d-4785-9f43-bc1261031dc6,photo,technology,heart,27-10-2020 05:45,positive,60,,
3,356fff80-da4d-4785-9f43-bc1261031dc6,photo,technology,scared,15-10-2020 09:11,negative,15,,
3,356fff80-da4d-4785-9f43-bc1261031dc6,photo,technology,heart,07-05-2021 09:16,positive,60,,
3,356fff80-da4d-4785-9f43-bc1261031dc6,photo,technology,hate,16-09-2020 08:39,negative,5,,
3,356fff80-da4d-4785-9f43-bc1261031dc6,photo,technology,indifferent,29-10-2020 15:38,neutral,20,,
4,01ab84dd-6364-4236-abbb-3f237db77180,video,food,scared,24-05-2021 18:03,negative,15,,
5,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,interested,25-02-2021 20:02,positive,30,,
5,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,hate,02-05-2021 03:45,negative,5,,
5,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,want,28-01-2021 08:49,positive,70,,
5,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,peeking,15-02-2021 13:06,neutral,35,,
5,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,dislike,04-11-2020 21:25,negative,10,,
5,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,love,23-06-2020 22:12,positive,65,,
5,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,cherish,16-02-2021 04:01,positive,70,,
5,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,interested,03-01-2021 08:44,positive,30,,
5,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,adore,25-11-2020 12:45,positive,72,,
5,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,like,03-12-2020 16:47,positive,50,,
5,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,like,22-05-2021 21:03,positive,50,,
5,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,cherish,18-01-2021 13:39,positive,70,,
5,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,indifferent,06-01-2021 00:35,neutral,20,,
5,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,adore,14-05-2021 14:33,positive,72,,
5,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,worried,27-05-2021 15:21,negative,12,,
5,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,peeking,21-07-2020 02:12,neutral,35,,
5,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,dislike,26-05-2021 06:09,negative,10,,
5,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,dislike,25-02-2021 03:16,negative,10,,
5,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,intrigued,07-12-2020 22:50,positive,45,,
5,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,indifferent,24-10-2020 14:06,neutral,20,,
5,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,peeking,01-09-2020 21:18,neutral,35,,
5,cf1e8c1a-23eb-4426-9f58-002fb1b53e91,GIF,cooking,adore,10-05-2021 22:07,positive,72,,
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,cherish,12-02-2021 16:37,positive,70,,
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,heart,28-04-2021 15:22,positive,60,,
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,intrigued,24-01-2021 00:38,positive,45,,
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,worried,18-03-2021 01:53,negative,12,,
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,disgust,14-01-2021 07:21,negative,0,,
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,heart,23-12-2020 04:11,positive,60,,
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,hate,21-05-2021 07:23,negative,5,,
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,like,28-03-2021 23:25,positive,50,,
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,peeking,16-09-2020 07:33,neutral,35,,
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,indifferent,08-11-2020 10:53,neutral,20,,
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,heart,06-03-2021 05:23,positive,60,,
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,disgust,13-01-2021 23:35,negative,0,,
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,want,06-09-2020 22:35,positive,70,,
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,interested,24-06-2020 09:31,positive,30,,
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,hate,07-02-2021 21:39,negative,5,,
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,intrigued,21-01-2021 18:28,positive,45,,
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,dislike,27-02-2021 00:21,negative,10,,
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,worried,22-08-2020 12:06,negative,12,,
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,cherish,03-08-2020 06:29,positive,70,,
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,scared,02-08-2020 06:20,negative,15,,
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,want,04-06-2021 04:57,positive,70,,
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,super love,21-10-2020 09:07,positive,75,,
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,dislike,26-12-2020 19:46,negative,10,,
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,scared,02-03-2021 22:47,negative,15,,
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,indifferent,31-03-2021 09:48,neutral,20,,
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,interested,14-06-2021 13:44,positive,30,,
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,scared,27-12-2020 17:04,negative,15,,
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,scared,11-02-2021 03:51,negative,15,,
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,interested,07-12-2020 19:07,positive,30,,
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,interested,28-12-2020 08:31,positive,30,,
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,interested,26-10-2020 05:27,positive,30,,
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,worried,26-09-2020 18:43,negative,12,,
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,scared,25-11-2020 13:01,negative,15,,
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,heart,11-07-2020 05:51,positive,60,,
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,heart,19-03-2021 16:23,positive,60,,
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,interested,11-10-2020 18:31,positive,30,,
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,heart,02-11-2020 20:15,positive,60,,
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,want,01-10-2020 03:35,positive,70,,
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,disgust,11-02-2021 20:10,negative,0,,
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,want,07-02-2021 15:59,positive,70,,
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,hate,17-10-2020 11:46,negative,5,,
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,like,09-08-2020 19:41,positive,50,,
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,love,01-02-2021 02:40,positive,65,,
6,3f8590c7-6ab2-4973-805a-90cdec355f05,video,dogs,adore,30-01-2021 09:36,positive,72,,
7,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,video,technology,want,31-03-2021 15:24,positive,70,,
7,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,video,technology,super love,05-02-2021 17:00,positive,75,,
7,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,video,technology,heart,19-02-2021 16:29,positive,60,,
7,e5490118-90d5-4572-ab1c-1fbc87b8d9ca,video,technology,worried,25-07-2020 00:00,negative,12,,
8,0bedca96-fb76-4287-a83c-17330ed39cce,photo,soccer,adore,13-07-2020 02:38,positive,72,,
8,0bedca96-fb76-4287-a83c-17330ed39cce,photo,soccer,indifferent,13-01-2021 13:11,neutral,20,,
8,0bedca96-fb76-4287-a83c-17330ed39cce,photo,soccer,worried,02-01-2021 16:46,negative,12,,
8,0bedca96-fb76-4287-a83c-17330ed39cce,photo,soccer,intrigued,26-11-2020 02:25,positive,45,,
8,0bedca96-fb76-4287-a83c-17330ed39cce,photo,soccer,want,25-08-2020 19:18,positive,70,,
8,0bedca96-fb76-4287-a83c-17330ed39cce,photo,soccer,hate,01-02-2021 00:15,negative,5,,
8,0bedca96-fb76-4287-a83c-17330ed39cce,photo,soccer,love,04-06-2021 14:36,positive,65,,
8,0bedca96-fb76-4287-a83c-17330ed39cce,photo,soccer,adore,19-08-2020 13:38,positive,72,,
8,0bedca96-fb76-4287-a83c-17330ed39cce,photo,soccer,cherish,22-04-2021 02:08,positive,70,,
8,0bedca96-fb76-4287-a83c-17330ed39cce,photo,soccer,super love,26-06-2020 10:33,positive,75,,
8,0bedca96-fb76-4287-a83c-17330ed39cce,photo,soccer,like,15-08-2020 18:16,positive,50,,
8,0bedca96-fb76-4287-a83c-17330ed39cce,photo,soccer,love,26-11-2020 13:42,positive,65,,
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,want,14-04-2021 00:56,positive,70,,
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,indifferent,21-07-2020 21:27,neutral,20,,
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,dislike,29-03-2021 06:57,negative,10,,
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,want,20-05-2021 16:11,positive,70,,
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,like,02-11-2020 06:09,positive,50,,
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,indifferent,24-10-2020 15:37,neutral,20,,
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,heart,07-09-2020 14:42,positive,60,,
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,scared,04-03-2021 02:46,negative,15,,
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,adore,07-01-2021 14:08,positive,72,,
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,peeking,06-07-2020 11:18,neutral,35,,
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,like,27-03-2021 04:56,positive,50,,
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,intrigued,21-11-2020 21:25,positive,45,,
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,cherish,22-08-2020 01:25,positive,70,,
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,peeking,14-06-2021 11:45,neutral,35,,
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,worried,15-07-2020 19:28,negative,12,,
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,intrigued,21-03-2021 14:39,positive,45,,
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,super love,07-04-2021 03:15,positive,75,,
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,cherish,24-04-2021 06:56,positive,70,,
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,heart,30-09-2020 14:05,positive,60,,
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,heart,19-07-2020 19:28,positive,60,,
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,scared,21-01-2021 07:08,negative,15,,
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,scared,31-01-2021 13:48,negative,15,,
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,hate,24-12-2020 03:24,negative,5,,
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,disgust,27-05-2021 01:44,negative,0,,
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,disgust,13-02-2021 04:14,negative,0,,
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,adore,14-07-2020 04:36,positive,72,,
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,dislike,15-07-2020 16:03,negative,10,,
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,like,08-10-2020 17:23,positive,50,,
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,heart,12-11-2020 23:55,positive,60,,
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,want,21-02-2021 05:01,positive,70,,
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,intrigued,09-07-2020 08:58,positive,45,,
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,adore,26-06-2020 23:45,positive,72,,
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,worried,20-11-2020 13:18,negative,12,,
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,like,29-05-2021 21:34,positive,50,,
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,indifferent,22-02-2021 02:48,neutral,20,,
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,scared,07-01-2021 18:39,negative,15,,
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,adore,01-10-2020 15:10,positive,72,,
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,hate,21-11-2020 08:24,negative,5,,
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,scared,15-04-2021 13:50,negative,15,,
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,love,30-06-2020 01:14,positive,65,,
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,want,01-12-2020 15:06,positive,70,,
9,b18cb63f-4c8e-44ee-a47f-541e95191d11,photo,public speaking,scared,07-11-2020 00:47,negative,15,,
10,5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,super love,30-06-2020 13:08,positive,75,,
10,5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,heart,04-08-2020 03:09,positive,60,,
10,5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,intrigued,28-07-2020 07:01,positive,45,,
10,5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,super love,25-10-2020 02:39,positive,75,,
10,5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,worried,05-07-2020 03:37,negative,12,,
10,5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,cherish,28-04-2021 15:16,positive,70,,
10,5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,indifferent,31-01-2021 00:54,neutral,20,,
10,5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,adore,29-08-2020 11:37,positive,72,,
10,5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,intrigued,15-10-2020 12:09,positive,45,,
10,5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,love,02-08-2020 21:20,positive,65,,
10,5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,scared,31-10-2020 21:46,negative,15,,
10,5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,heart,12-10-2020 09:40,positive,60,,
10,5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,want,12-12-2020 12:22,positive,70,,
10,5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,like,09-01-2021 16:37,positive,50,,
10,5118e9c5-1377-4cc5-a486-65b35b7b7b76,GIF,science,hate,23-08-2020 04:39,negative,5,,
